ualberta_discussions_user_id,course_id,discussion_answer_id,discussion_answer_vote_value,discussion_answer_vote_ts
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","qAwQ0AAIEeau1Q5gvOuhYQ",1,2016-04-21 07:29:17.232
30b8d3d0604a8f7b150fcab6ed67ce5937647901,"99SZyjVxEeW6RApRXdjJPw","8JoHLzSQEeaXxw4XkwFxSw",1,2016-06-19 03:01:17.715
6918a6e53d989bc484eea9db210f2f6783e08fb8,"99SZyjVxEeW6RApRXdjJPw","efzAwQ4yEea63hJ3Ni_BAw",1,2016-05-05 11:47:28.121
ba9871809509fa9d33955a306831b56c67b098d1,"99SZyjVxEeW6RApRXdjJPw","cUYXdvb0EeWdIhI-GrEcAw",1,2016-03-31 12:19:25.007
db9cd35aa57c609aa886936952b177d03a658896,"99SZyjVxEeW6RApRXdjJPw","ds52QwWFEeagVwrGhMvzTw",1,2016-04-29 16:20:17.213
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","WwcKmwAVEeavUQqXcskp8Q",1,2016-04-21 07:29:55.128
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","ds52QwWFEeagVwrGhMvzTw",1,2016-04-21 07:05:25.066
5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","ds52QwWFEeagVwrGhMvzTw",1,2016-04-21 23:36:21.891
f39c6349af74c10aee999548e0e34ac28078c8ef,"99SZyjVxEeW6RApRXdjJPw","BOx2_RCBEeaSqwpdV4Ekkw",1,2016-05-02 17:25:37.489
9dc0df3d14c5ada1256558be2bb31b15e608a791,"99SZyjVxEeW6RApRXdjJPw","ZBR8rvtpEeWS4Ar9qFG8UQ",1,2016-04-05 20:38:44.972
3c47649e83c9fd4f16abefcdeaa0a711dfd01105,"99SZyjVxEeW6RApRXdjJPw","fC4dMftqEeWpRBJSZ0Y3Bw",1,2016-04-07 01:00:12.727
6918a6e53d989bc484eea9db210f2f6783e08fb8,"99SZyjVxEeW6RApRXdjJPw","fC4dMftqEeWpRBJSZ0Y3Bw",1,2016-04-06 10:16:33.743
eca453e58264b7cf8ed10de5d650a5e1b7507fc8,"99SZyjVxEeW6RApRXdjJPw","fC4dMftqEeWpRBJSZ0Y3Bw",1,2016-04-15 02:18:11.43
9dc0df3d14c5ada1256558be2bb31b15e608a791,"99SZyjVxEeW6RApRXdjJPw","fC4dMftqEeWpRBJSZ0Y3Bw",1,2016-04-05 20:38:47.227
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","42yHIBqNEeaLhQ74Ufc-sQ",1,2016-05-16 07:53:24.839
c800ae9ca7bccac81d829d385f1c3f228f665fce,"99SZyjVxEeW6RApRXdjJPw","xe3VxPSZEeWmrgpxaSyEow",1,2016-03-28 20:43:09.866
5449674cafb4d91701b5a2baed615a859fef826d,"99SZyjVxEeW6RApRXdjJPw","C1a1L_FEEeWeyQ6xu8k3Vw",1,2016-03-23 22:23:14.187
5449674cafb4d91701b5a2baed615a859fef826d,"99SZyjVxEeW6RApRXdjJPw","C1a1L_FEEeWeyQ6xu8k3Vw",1,2016-03-23 22:23:19.217
bb9cb045d9c2e2b1884e2c8884d096db2e784a16,"99SZyjVxEeW6RApRXdjJPw","VEbXrfOaEeWqQwq9khhH1Q",1,2016-03-28 03:50:28.684
6c388d286ff0671fd7618bd6a2e9c4b8d4fbf889,"99SZyjVxEeW6RApRXdjJPw","75MmcSgzEeaHEgowKm82Aw",1,2016-06-04 19:14:43.449
